idstd,id,wmedian,wweak,finance_status,k162a,k162b,k17,k20a1,k6,k82a,k82b,k9,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k32,a2,a3a,a3c,a6a,a6c,b4,b4a,b5,b6b,b7a,b8,d1a2_v4,d2,d3b,d3c,d8,h1,h5,h8,h9,n3,b1,b2a,b2b,b2c,d1a3,e1,e312,l4a1,l4a2,l4b
1629265,1725,5.415388,10.492743,rejected,1,2,,3.0,1,2,1,-9.0,2000000.0,2.0,,,,,,,120.0,1,1,1,1,280,1,100.0,2016,2016,1,2,6130,100000000.0,0,0,,1,2,1,-9.0,30000000.0,4,100,0,0,80,2,3.0,100,-9,-9
1629266,1726,4.5739584,9.685307,discouraged,2,2,5.0,,1,1,1,1.0,700000.0,2.0,,,,,,,,4,4,2,1,10,2,,1985,2003,2,2,2829,6000000.0,0,0,,2,2,1,80000.0,4000000.0,3,100,0,0,100,2,3.0,2,2,2
1629267,1738,3.2991145,5.109369,discouraged,2,2,3.0,,1,2,1,-9.0,10000.0,2.0,,,,,,,,2,2,2,1,25,1,100.0,2022,2023,1,2,1410,200000.0,0,0,,2,2,2,,100000.0,3,100,0,0,50,1,1.0,5,10,10
1629268,1740,1.0,1.2193496,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,4,1,1,3,20,1,50.0,2010,2010,1,2,3100,2400000.0,0,0,,2,2,2,,7200000.0,4,100,0,0,100,1,3.0,16,0,0
1629269,1753,3.2906432,6.8719873,approved_full,2,1,,1.0,1,2,1,-9.0,-8.0,2.0,,,,,,,,1,1,1,2,22,2,,2010,2010,2,2,1820,1700000.0,0,0,,1,2,1,238000.0,7200000.0,4,100,0,0,100,2,-9.0,17,6,4
1629270,1771,5.415388,10.492743,withdrawn,1,1,,4.0,1,2,2,,,,,,,,,,,1,1,1,1,8,2,,2018,2018,2,1,4100,2600000.0,0,0,,2,2,2,,-7.0,3,100,0,0,100,2,3.0,3,2,4
1629271,1772,1.8918297,4.056594,discouraged,2,2,3.0,,1,1,1,1.0,20000000.0,1.0,1.0,1.0,1.0,1.0,2.0,80000000.0,,3,3,2,3,45,2,,2004,2004,2,1,2220,70000000.0,0,0,,1,1,1,600000.0,45000000.0,5,50,50,0,70,2,3.0,17,6,0
1629272,1774,1.0,1.009351,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,2,2,2,3,8,2,,1991,2021,2,2,4661,3000000000.0,0,0,,2,2,2,,2000000000.0,3,100,0,0,100,2,3.0,150,70,30
1629273,1785,1.0163754,2.7457263,no_need,2,2,1.0,,1,2,1,-9.0,30000000.0,2.0,,,,,,,,1,1,1,3,70,2,,2018,2018,2,2,1920,201000000.0,0,0,,2,1,2,,185000000.0,5,100,0,0,100,2,1.0,3,4,0
1629274,1790,2.7693353,6.4454284,approved_full,2,1,,1.0,1,2,1,-9.0,10000000.0,2.0,,,,,,,,1,1,1,1,20,2,,2006,2006,2,1,4690,105000000.0,0,0,,1,2,1,180000.0,-7.0,5,100,0,0,90,2,3.0,6,10,4
1629275,1798,1.1952801,2.1486533,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,2,2,2,3,5,2,,2016,2016,2,2,4100,6000000.0,0,0,,2,2,1,700000.0,4000000.0,3,100,0,0,70,2,3.0,3,5,10
1629276,1799,2.3797135,4.008844,discouraged,2,2,2.0,,2,2,2,,,,,,,,,,,1,2,1,1,25,2,,2024,2024,2,2,2029,12000000.0,0,0,,2,1,1,700000.0,-7.0,4,100,0,0,100,2,3.0,3,5,2
1629277,1801,2.3797135,4.008844,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,1,1,1,1,30,2,,1998,1998,2,2,1520,10000000.0,0,0,,2,2,2,,9500000.0,4,100,0,0,100,2,3.0,3,21,0
1629278,1809,1.8918297,4.056594,discouraged,2,2,6.0,,1,2,2,,,,,,,,,,,3,3,2,3,5,2,,2020,2020,2,2,4630,90000000.0,0,100,2020.0,1,2,2,,85000000.0,3,100,0,0,65,3,,6,21,3
1629279,1821,3.2991145,5.109369,withdrawn,1,1,,4.0,1,2,2,,,,,,,,,,,2,2,2,1,200,1,100.0,2022,2022,1,2,1393,1500000.0,0,0,,2,2,2,,1200000.0,3,100,0,0,70,2,3.0,4,1,1
1629280,1841,4.5739584,9.685307,discouraged,2,2,2.0,,2,2,2,,,,,,,,,,,4,4,2,1,10,1,100.0,2015,2022,1,2,1430,500000.0,0,0,,1,2,1,50000.0,300000.0,3,100,0,0,100,1,3.0,5,4,0
1629281,1858,1.0,1.4450359,approved_full,2,1,,1.0,1,2,1,-9.0,50000.0,2.0,,,,,,,,4,4,2,3,8,2,,2010,2019,2,2,4100,3500000.0,0,0,,2,2,2,,1100000.0,3,100,0,0,100,2,3.0,1,2,5
1629282,1863,2.3797135,4.008844,approved_full,2,1,,1.0,1,1,1,1.0,1000000.0,1.0,1.0,1.0,1.0,1.0,2.0,1000000.0,,1,2,2,1,22,2,,2003,2004,2,1,2732,3500000.0,0,0,,1,1,2,,4000000.0,3,100,0,0,100,2,3.0,5,1,1
1629283,1865,3.2991145,5.109369,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,2,2,2,1,30,2,,2020,2020,2,2,2930,4000000.0,0,0,,2,2,2,,2500000.0,3,100,0,0,100,2,3.0,30,0,0
1629284,1866,1.7817818,3.235125,no_need,2,2,1.0,,1,1,2,1.0,2000000.0,1.0,2.0,2.0,2.0,1.0,2.0,3000000.0,,1,1,1,2,15,2,,2010,2010,2,2,1410,30000000.0,0,0,,1,2,2,,25000000.0,4,100,0,0,100,1,3.0,25,3,2
1629285,1870,2.3797135,4.008844,discouraged,2,2,2.0,,1,2,2,,,,,,,,,,,1,1,1,1,8,2,,2017,2017,2,2,2022,15000000.0,0,0,,1,1,1,100000.0,10000000.0,4,100,0,0,100,2,3.0,6,2,2
1629286,1875,7.494959,13.3507,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,2,2,2,1,5,2,,2010,2010,2,2,4921,10000000.0,0,0,,1,2,1,-9.0,-9.0,3,100,0,0,100,2,3.0,10,2,0
1629287,1879,2.3797135,4.008844,discouraged,2,2,2.0,,1,2,2,,,,,,,,,,,1,1,1,1,7,2,,2016,2016,2,2,2220,2800000.0,0,0,,1,2,1,200000.0,2700000.0,4,100,0,0,100,2,3.0,2,2,1
1629288,1893,5.415388,10.492743,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,1,1,1,1,5,2,,2017,2017,2,2,4923,8000000.0,0,0,,2,2,2,,2000000.0,3,100,0,0,100,1,3.0,1,1,3
1629289,1909,5.971265,14.54295,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,4,4,2,1,5,2,,2020,2020,2,2,4690,1500000.0,0,0,,2,2,2,,2000000.0,4,100,0,0,100,2,3.0,2,2,1
1629290,1917,3.2991145,5.109369,withdrawn,1,2,,4.0,1,2,2,,,,,,,,,,,2,2,2,1,37,1,100.0,2020,2020,1,2,1410,12000000.0,0,0,,2,2,2,,8000000.0,3,100,0,0,100,2,3.0,6,8,6
1629291,1929,1.2909241,2.5241895,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,1,1,1,3,60,2,,2014,2014,2,1,2410,675000000.0,0,0,,1,2,2,,150000000.0,4,100,0,0,100,2,3.0,40,60,10
1629294,1951,4.5739584,9.685307,discouraged,2,2,3.0,,2,2,2,,,,,,,,,,,4,4,2,1,5,2,,2019,2019,2,2,2023,3000000.0,0,0,,2,2,1,50000.0,2000000.0,3,100,0,0,100,1,3.0,1,3,0
1629295,1960,5.971265,14.54295,no_need,2,2,1.0,,1,2,1,-9.0,1000000.0,2.0,,,,,,,,4,1,1,1,9,2,,2024,2024,2,2,4100,6850000.0,0,0,,1,2,1,2000000.0,-7.0,3,100,0,0,100,2,3.0,4,10,3
1629296,1965,1.0,2.3648567,withdrawn,2,1,,4.0,1,2,2,,,,,,,,,,,1,1,1,2,105,2,,2016,2016,2,2,4630,40000000.0,0,100,2016.0,1,1,1,1000000.0,50000000.0,4,100,0,0,100,3,,10,50,0
1629297,1967,2.3797135,4.008844,no_need,2,2,1.0,,2,2,2,,,,,,,,,,,1,1,1,1,14,2,,2024,2024,2,2,2732,800000.0,0,0,,2,2,1,20000.0,-7.0,3,100,0,0,100,2,3.0,1,10,0
1629298,1972,5.971265,14.54295,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,4,4,2,1,7,2,,2023,2023,2,2,4661,5000000.0,0,0,,2,2,2,,12000000.0,4,100,0,0,100,1,3.0,2,3,2
1629299,1978,3.2991145,5.109369,approved_full,1,1,,1.0,1,1,1,1.0,170000.0,1.0,2.0,2.0,2.0,1.0,2.0,700000.0,7.0,2,2,2,1,5,1,100.0,2023,2024,1,2,1079,700000.0,0,0,,2,2,2,,500000.0,3,100,0,0,80,2,1.0,3,1,1
1629300,1984,7.494959,13.3507,discouraged,2,2,6.0,,1,2,2,,,,,,,,,,,2,2,2,1,8,2,,2012,2012,2,2,4100,4500000.0,0,0,,2,2,2,,3000000.0,4,100,0,0,100,2,3.0,6,1,1
1629301,1990,1.0,1.5730151,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,2,2,2,2,43,2,,2024,2025,2,2,1079,30000000.0,0,0,,2,2,2,,-7.0,3,100,0,0,100,2,3.0,10,30,0
1629302,1998,1.1599877,1.6717311,no_need,2,2,1.0,,1,2,2,,,,,,,,,,,3,3,2,2,250,2,,2015,2015,2,2,1073,400000000.0,0,0,,1,2,2,,700000000.0,3,100,0,0,80,2,1.0,5,35,35
